devID,chipID,area,R5,R5_StdDev,R5_NumSamples,R5_AvgFitQuality,R5_LeastFitQuality,R5_PlotFilename,R5_Best,R5_BestFitQuality
CA2,Chip#1,324,134709506567.211,140689793105.581,5,0.980349470583005,0.957749161304656,R5_CA2_Chip#1_63.png,56500808402.2656,0.926526837537288
CB2,Chip#1,144,2479.11144148879,157.275998888896,5,0.999943391436849,0.999888111648796,R5_CB2_Chip#1_64.png,2549.37706338398,0.999970385087418
CB1,Chip#1,144,3336.39756683871,23.2458393637694,5,0.999986720049467,0.99997372780513,R5_CB1_Chip#1_65.png,3428.35975206215,0.999989589779815
BA4,Chip#1,324,13017586441.7807,1406871477.11063,5,0.986707923762446,0.952580684402729,R5_BA4_Chip#1_66.png,2298.73517178712,0.999906586334976
BA3,Chip#1,324,1529.19226127324,47.1003293412173,5,0.999892037227314,0.999575196912818,R5_BA3_Chip#1_67.png,1542.21710314018,0.999993346114273
BA2,Chip#1,324,13637341822.0704,8085414109.57558,4,0.979745751337023,0.968235588440201,R5_BA2_Chip#1_68.png,12926919938.7655,0.968235588440201
BB3,Chip#1,144,2088.54381610557,195.635002359654,3,0.999935464062342,0.999839618651301,R5_BB3_Chip#1_69.png,2091.76224079913,0.999980847847218
BB2,Chip#1,144,10488114825.113,14832432265.9037,2,0.996988848445257,0.994104843130014,R5_BB2_Chip#1_70.png,20976228261.8236,0.994104843130014
BC2,Chip#1,36,627.421166998931,14.564860618255,3,0.999964889527067,0.999928441973807,R5_BC2_Chip#1_71.png,627.421166998931,0.999988469002628
BC3,Chip#1,36,15017514614284.3,0,1,0.928714388067454,0.928714388067454,R5_BC3_Chip#1_72.png,15017514614284.3,0.928714388067454
EA3,Chip#1,324,67019445742.6995,1798478850.95979,3,0.999022857930965,0.998249666598064,R5_EA3_Chip#1_73.png,67019445742.6995,0.999524040024924
EB3,Chip#1,144,1414.86431276675,151.784586191534,5,0.999957246793082,0.999868447757747,R5_EB3_Chip#1_74.png,1753.24859761694,0.999868447757747
